id,name,level,country_id,created_at,updated_at,old_id
1,Premier League,1,1,2014-02-11 17:10:02.339748,2014-02-11 17:10:02.339748,5
2,The Championship,2,1,2014-02-11 17:10:02.363821,2014-02-11 17:10:02.363821,6
3,League One,3,1,2014-02-11 17:10:02.380546,2014-02-11 17:10:02.380546,7
4,League Two,4,1,2014-02-11 17:10:02.390418,2014-02-11 17:10:02.390418,8
5,The Conference,5,1,2014-02-11 17:10:02.399507,2014-02-11 17:10:02.399507,9
6,Conference North,6,1,2014-02-11 17:10:02.406383,2014-02-11 17:10:02.406383,10
7,Conference South,6,1,2014-02-11 17:10:02.413158,2014-02-11 17:10:02.413158,11
41,Non-League - Step 10,10,1,2014-02-11 17:10:02.645224,2014-02-11 17:10:02.645224,47
42,Non-League - Step 11,11,1,2014-02-11 17:10:02.651597,2014-02-11 17:10:02.651597,48
43,Non-League - Step 7,7,1,2014-02-11 17:10:02.657951,2014-02-11 17:10:02.657951,49
44,Non-League - Step 8,8,1,2014-02-11 17:10:02.664448,2014-02-11 17:10:02.664448,50
45,Non-League - Step 9,9,1,2014-02-11 17:10:02.670917,2014-02-11 17:10:02.670917,51
24,IFA Premiership,1,5,2014-02-11 17:10:02.534892,2014-02-13 09:51:24.348868,28
23,League of Ireland,1,3,2014-02-11 17:10:02.526681,2014-02-13 09:51:29.216779,27
22,Premier League of Wales,1,4,2014-02-11 17:10:02.520131,2014-02-13 09:51:35.425481,26
12,Scottish Premier League,1,2,2014-02-11 17:10:02.447859,2014-02-13 09:51:42.827616,16
37,Scottish Championship,2,2,2014-02-11 17:10:02.619289,2014-02-13 09:51:59.993491,41
40,Scottish League One,3,2,2014-02-11 17:10:02.638786,2014-02-13 09:52:10.978032,45
38,Scottish League Two,4,2,2014-02-11 17:10:02.625721,2014-02-13 09:53:10.161503,43
14,Carling Cup,,1,2014-02-11 17:10:02.462487,2014-02-13 10:08:24.265568,18
21,Europa League,,6,2014-02-11 17:10:02.513467,2014-02-13 10:10:06.018494,25
8,FA Cup,,1,2014-02-11 17:10:02.419593,2014-02-13 10:10:13.533591,12
9,FA Trophy,,1,2014-02-11 17:10:02.425974,2014-02-13 10:10:19.537185,13
11,Friendly,,1,2014-02-11 17:10:02.440268,2014-02-13 10:10:30.811574,15
26,Scottish League Cup,,2,2014-02-11 17:10:02.548193,2014-02-13 10:10:38.857295,30
39,Scottish FA Cup,,2,2014-02-11 17:10:02.632267,2014-02-13 10:10:46.240761,44
47,Non-League - Step 12,12,1,2014-02-13 10:10:58.458627,2014-02-13 10:10:58.458627,
48,Other,,1,2014-02-26 18:55:15.721988,2014-02-26 18:55:15.721988,
49,Scottish Lower Leagues,,2,2014-02-27 09:46:59.945179,2014-02-27 09:46:59.945179,
50,Welsh Lower Leagues,,4,2014-02-27 09:50:52.696507,2014-02-27 09:50:52.696507,
51,N-Ireland Lower Leagues,,5,2014-02-27 09:56:13.093605,2014-02-27 09:57:24.111223,
46,Irish Lower Leagues,,3,2014-02-11 17:10:02.677907,2014-02-27 10:03:19.927027,52
